Gene,Category
NPY,neuropeptide precursor proteins
SST,neuropeptide precursor proteins
VIP,neuropeptide precursor proteins
TAC2,neuropeptide precursor proteins
CCK,neuropeptide precursor proteins
PENK,neuropeptide precursor proteins
CRH,neuropeptide precursor proteins
CORT,neuropeptide precursor proteins
TAC1,neuropeptide precursor proteins
PDYN,neuropeptide precursor proteins
PTHLH,neuropeptide precursor proteins
PNOC,neuropeptide precursor proteins
TRH,neuropeptide precursor proteins
GRP,neuropeptide precursor proteins
RLN1,neuropeptide precursor proteins
ADCYAP1,neuropeptide precursor proteins
NTS,neuropeptide precursor proteins
NMB,neuropeptide precursor proteins
SSTR2,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
NPY2R,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
NPY1R,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
GRPR,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
CCKBR,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
NTSR2,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
NPY5R,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
NMBR,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
RXFP1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
SSTR4,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
TRHR,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
SSTR1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
ADCYAP1R1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
CRHR1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
RXFP3,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
OPRL1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
CRHR2,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
TACR3,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
OPRK1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
TACR1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
PTHR1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
VIPR1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
OPRM1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
TRHR2,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
VIPR2,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
RXFP2,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
OPRD1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
NTSR1,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
SSTR3,neuropeptide-selective G-protein-coupled receptor (NP-GPCR)
